Åarjelsaemien gïele	Nöörjen gïele	Sveerjen gïele	Synonyjme	Baakoen definssjovne saemien gïelesne/Åarjelsaemien jiehtegh	Baakoen definisjovne daaroen gïelesne/Daaroen jiehtegh	Baakoe-tjïerte	Baakoen syjjehtimmie	Baakoen gaaltije	Statuse	Midgard	Siebr.	Kapittel	Side	
barkoes	arbeidskrevende	arbetskrävande				adjektiv		Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 60	
ruevtiekonstruksjovne	jernkonstruksjon	järnkonstruktion	rievtie-konstruksjovne			sammensatt substantiv av ruevtie + konstruksjovne	ruevtiekonstruksjovne, ruevtiekonstruksjovnese	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 60	
lokomitijve	lokomotiv	lokomotiv				substantiv	lokomotijve, lokomotijvese	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 60	
tjïrre-gruva	kullgruve	kolgruva				sammensatt substantiv av tjïrre + gruva	tjïrre-gruva, tjïrre-gruvese	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 60	
gruvagohpege	gruvegang	gruvgång				sammensatt substantiv av gruva + gohpege	gruva-gohpege, gruva-gohpegasse	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 60	
daamhtetje juhtedh	gå regelmessig	gå regelbundet		Roehkenasseskïhph daamhtetje Amerikan jïh Europan gaskem juhtin.	Dampskip reiste regelmessig mellom Amerika og Europa. 	frase		Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 61	
leesseme-pluahta	lastepram	lastpråm				sammensatt substantiv av leesseme + pluahta	leesseme-pluahta, lesseme-pluahtese	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 61	
telegraafe	telegraf	telegraf				substantiv	telegraafe, telegraafese	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 61	
telegraafeviermie	telegrafnett	telegrafnät				sammensatt substantiv av telegraafe + viermie	telegraafeviermie, telegraafevearman	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 61	
morse-alfabeete	morse-alfabete	morsealfabete				sammensatt substantiv av morse + alfabeete	morse-alfabeete, morse-alfabeetese	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 61	
ruevtiemaalme	jernmalm	järnmalm				sammensatt substantiv av ruevtie + maalme	ruevtiemaalme, ruevtiemaalmese	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 61	
roehkenasseskïhpe	dampskip	ångbåt				sammensatt substantiv av roehkenasse + skïhpe	roehkenasseskïhpe, roehkenasseskïhpese	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 61	
elektromagnetiske	elektromagnetisk	elektromagnetisk				adjektiv		Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 61	
kaabele-viermie	ledningsnett	ledningsnät				sammensatt substantiv av kaabele + viermie	kaabele-viermie, kaabele-vearman	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 61	
telegrafiste	telegrafist	telegrafist				substantiv	telegrafiste, telegrafistese	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 61	
jïeknge	gigantisk	gigantisk				adjektiv		Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 62	
åtnose vaeltedh	ta i bruk	ta i bruk				frase		Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 62	
industrijestaare	industriby	industristad				sammensatt substantiv av industrije + staare	industrijestaare, industrijestaarese	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 62	
deerjeldihkie	forurenset	förorenad		Staarh deerjeldihkie sjïdtin.	Byene ble forurenset.	adjektiv		Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 62	
deerjeldahke	forurensing	förorening		Jïjnjh almetjh skïemtje sjïdtin dyöreldahkeste. 	Mange ble syke av forurensningen.	substantiv	dyöreldahke, dyöreldahkese	Elgå ref. gruppe	Godkjent		Historie 8	Flere mennesker	side 62	
hïeje-aajmoe	feststemning	feststämning	hïeje-aajma			sammensatt substantiv av hïeje + aajmoe	hïeje-aajmoe, hïeje-aajmose	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 124	
gunkiesskïhpe	kongeskip	kungaskepp				sammensatt substantiv av gånka + skïhpe	gunkiesskihpe, gunkiesskihpese	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 124	
våågne	vogn	vagn		Hierkieh slærram soejmetje staare-raejkiem giesiejin.	Vognen ble trukket av hester i langsom fart gjennom byen.	substantiv	våågne, våågnese	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 124	
vuartasjæjja	tilskuer 	åskådare		Desnie lij ååjverh dïeves vuartoes vuejnijistie	Der sto det tribuner fulle av spente tilskuere.	substantiv av vuartasjidh	vuartasjæjja, vuartasjæjjese	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 124	
almetjeveeljeme	folkevalgt	folkvald				adverb		Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 126	
åålmeh-tjoeje	folketone	folkton				sammensatt substantiv av åålmeh + tjoeje	åålmeh-tjoeje, åålmeh-tjoejese	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 126	
tjaelemegïele	skriftspråk	skriftspråk				sammensatt substantiv av tjaelemeh + gïele	tjaelemegïele, tjaelemegïelese	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 126	
orredaaroen-gïele	nynorsk	nynorsk				sammensatt substantiv av orre + daaroen + gïele	orredaaroen-gïele, orredaaroen-gïelese	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 126	
jiehtedh	å si	säga till om		Unijovnesne dah svïenskh utniejin jïjnjemes jiehtedh.	Svenskene hadde mest å si i unionen.	verb	jiehtedh, jeahta, jeehti, jeahteme	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 128	
unijovnemïerhke	unionsmerke	unionsmärke				sammensatt substantiv av unijovne + mïerhke	unijovnemïerhke, unijovnemïerhkese	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 128	
sildie-salaate	sildesalaten	sillsalladen	siltie-salaate, sælta-salaate			sammensatt substantiv av sildie + salaate	sildie-salaate, sildie-salaatese	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 128	
veeljedh	plukke ut	plocka ut		Gånka veelji dejtie mejtie sijhti reerenassesne utnedh.	Kongen plukket ut dem han ville til å sitte i regjeringen.	verb	veeljedh, veeljie, veelji, veeljeme	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 130	
hïjven	greit	bra				adjektiv		Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 130	
njueniehkisnie årrodh	være i spissen	gå i spetsen		Dejtie Johan Sverdrup njuenehkisnie årroeji.	I spissen for disse sto Johan Sverdrup.	frase		Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 130	
faamoegæmhpome	maktkamp	maktkamp				sammensatt substantiv av faamoe + gæmhpome	faamoegæmhpome, faamoegæmhpomasse	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 130	
tseegkije	grunnlegger	grundläggare				substantiv av tseegkedh	tseegkije, tseegkijasse	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 131	
rïjhkereaktan-aamhtese	riksrettssak	riksrättsärende		Aktem ålmam feengkin mearan dïhte rïjhkereaktan-aamhtese lij.	Mens riksrettssaken pågikk, ble en mann arrestert.	sammensatt substantiv av rïjhke + reakta + aamhtese	rïjhkereaktanaamhtese, rïjhkereaktanaamhtesasse	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 132	
maalijes gæmhpome	blodig kamp	blodig kamp				frase		Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 132	
dööpmedh	felle en dom	fälla en dom	doepmedh, doepmesjidh	Goevten jaepien 1884 dillie dööpmin.	I februar 1884 falt dommen.	verb	dööpmedh, dööpmie, dööpmi, dööpmeme	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 133	
nammoehtidh	utnevne	utnämna	nammahtidh, nommehtidh, nymmehtidh	Mïnngemes gånka tjoeri Johan Sverdrupem nammoehtidh.	Kongen måtte til slutt utnevne Johan Sverdrup.	verb	nammoehtidh, nammohte, nammoehti, nammoehtamme	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 133	
skuvlenfaalenasse	skoletillbud	skolningserbjudande				sammensatt substantiv av skuvle + faalenasse	skuvlenfaalenasse, skuvlenfaalenassese	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 134	
barkedh	delta i arbeidet	delta i arbetet		Dah tjoerin gaertenisnie barkedh.	De måtte delta i arbeidet på gården.	frase	barkedh, barka, barki, barkeme	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 134 	
skuvlengåetie	skolebyggning	skolbyggnad				sammensatt substantiv av skuvle + gåetie	skuvlengåetie, skuvlengåatan	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 134	
gaavnemesnsijjie	møtested	mötesplats				sammensatt substantiv av gaavnemes + sijjie	gaavnemesnsijjie, gaavnemesnsæjjan	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 134	
veeljemensijjie	stemmelokale	röstningslokal				sammensatt substantiv veeljeme + sijjie	veeljemensijjie, veeljemensæjjan	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 134	
almetjenskuvle	folkeskole	folkskola				sammensatt substantiv av almetje + skuvle	almetjenskuvle, almetjenskuvlese	Elgå ref. gruppe	Godkjent		Historie 8	Frihet og folkestyre	side 134	
jeatjahtehteme	endring, forandring	förändring	jarkoestimmie			substantiv a jeatjahtehtedh	jeatjahtehteme, jeatjahtehtemasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 4	
daektie-åejjie	hodeskalle	dödskalle				sammensatt substantiv av daektie + åejjie	daektie-åejjie, daektie-åajjan	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 5	
dujmiedidh	symbolisere	symbolisera				verb av dujmies	dujmiedidh, dujmede, dujmiedi, dujmiedamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 5	
offisere	offiser	officerare				substantiv  	offisere, offiserese	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 5	
foeve	hær	här				substantiv	foeve, foevese	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 5	
aamte-maennie	amtmann	amtman				sammensatt substantiv av aamte +  maennie	aamte-maennie, aamte-maannan	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 5	
såakne-tjaelije	sorenskriver					sammensatt substantiv av såakne + tjaelije	såakne-tjaelije, såakne-tjaelijasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 5	
reakta-aamhtese	rettsak	rättsärende				sammensatt substantiv av reakta + aamhtese	reakta-aamhtese, rekta-aamhtesasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 5	
båarkere	borger	borgare				substantiv	båarkere, båarkerasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 5	
statuse	status	status				substantiv	statuse, statusasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 5	
gåetie-maennie	husmann			Akte ålma mij gåetiem jïh jåartam akten båanteste leejjie jïh dïsse barka.	En person som leier hus og jord av en bonde og arbeider for han.	sammensatt substantiv av gåetie + maennie	gåetie-maennie, gåetie-maannan	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 5	
slaave	livegen	livegen				substantiv	slaave, slaavese	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 6	
adele	adel	adel				substantiv	adele, adelasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 6	
greve	greve	greve				substantiv	greve, grevese	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 6	
barovne	baron	baron				substantiv	barovne, barovnese	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 6	
markije	marki	markis				substantiv	markije, markijese	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 6	
jåarta	gods	gods		stoerre jåarta-eeke	stor jordeiendom	substantiv	jåarta, jåartese	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 6	
tekstijle	tekstil	textil				substantiv	tekstijle, tekstijlese	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 6	
gååvnesidh	være gyldig	vara giltig		Dïhte jeehti mij laakide edtji gååvnesidh.	Han bestemte hvilke lover som skulle gjelde.	verb	gååvnesidh, gååvnesje, gååvnesi, gååvnesamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 7	
jovhte	brikke	bricka		Puslespealen jovhth.	Brikker i puslespill	substantiv	jovhte, jovhtese	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 9	
vierhtiedidh	trekke en slutning	dra en slutsats				verb	vierhtiedidh, vierhtede, vierhtiedi, vierhtiedamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 9	
digitale-våarhkoe	digitalarkiv	digitalarkiv				sammensatt substantiv av digitaale + våarhkoe	digitaale-våarhkoe, digitaale-våarhkose	Elgå ref. gruppe	Til godkjenning		Historie 8	Det gamle samfunnet	side 9	
saehtielidh	bli ført bort	bli bortförd 		Gånkam gåeteste saehtielin.	De førte bort kongen fram hjemmet sitt.	verb	saehtielidh, saehtele, saehtieli, saehtielamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 11	
vueliemdimmie	henrettelse	avrättning	vueliedimmie			substantiv av vueliemdidh	vueliemdimmie, vueliemdæmman	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 11	
vueliemdidh	henrette 	avrätta	vueliedidh			verb	vueliemdidh, vuelemde, vueliemdi, vueliemdamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 11	
giljotijne	giljotin	giljotin				substantiv	giljotijne, giljotijnese	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 11	
skrumhke	virvel	virvel		gievrien skrumhkh	trommevirvler	substantiv av skrumhkedh	skrumhke, skrumhkese	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 11	
gaahtjeme-aaksjoe	falløks	bila				sammensatt substantiv av gaahtjeme av gaahtjedh + aaksjoe	gaahtjeme-aaksjoe, gaatjeme-aaksjose	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 11	
vuesiehtidh	holde opp noe for noen (vise opp)	hålla upp ngt för ngn (visa upp)		Akte geehtije gånkan åejjiem  almetjidie vuesiehti.	En vokt holdt opp kongens hode for forsamlingen	verb	vuesiehtidh, vuesehte, vuesiehti, vuesiehtamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 11	
håatjeme	jubel	jubel				substantiv av håatjedh	håatjeme, håatjemasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 11	
revolusjovne	revolusjon	revolution				substantiv	revolusjovne, revolusjovnese	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 11	
gåpmaldahkesne	snudd på hodet	upp och nedvänt		Tsiehkieh Frankrijhkesne lin gåpmaldahkesne.	Forholdene i Franrike var snudd på hodet.	adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 11	
daata-veartene	dataverden	datavärlden				sammensatt substantiv av daata + veartene	daata-veartene, daata-veartenasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 12	
tjïerte	stand	stånd				substantiv	tjïerte, tjïertese	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 12	
tjïerte-sïebredahke	stendersamfunn	ståndsamhälle				sammensatt substantiv av tjïerte + sïebredahke	tjïerte-sïebredahke, tjïerte-sïebredahkese	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 12	
maajnehke	storslått	storslagen				adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 14	
baahkeelmie-ballonge	varmkluftballong	varmluftballong				sammensatt substantiv av baahke + elmie + ballonge	baahkeelmie-ballonge, baahkeelmie-ballongese	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 14	
kaanghke	kylling	kyckling 				substantiv	kaanghke, kaanghkese	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 14	
gïerte-mïnneme	flytur	flygtur				sammensatt substantiv av girte + mïnneme	girtie-mïnneme, girtie-mïnnemasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 14	
eatneme-deahpadimmie	naturfenomen	naturfenomen				sammensatt substantiv av eatneme + deahpadimmie	eatneme-deahpadimmie, eatneme-deahpadæmman	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 14	
bïevnesetïjjen filosååfe	opplysningsfilosof	upplysningsfilosof				sammensatt substantiv av bïevnese + tïjje + filosååfe	bïevnesetïjjen filosååfe, bïevnesetïjjen filosååfese	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 15	
itjmie-laakan	for alvor	på allvar		Gyhtjelassem itjmie-laakan gihtjedh. 	For alvor stille et spørsmål	adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 15	
åålmeh-jïjtjereereme	folkesuverenitet	folksuveränitet				sammensatt substantiv av ålmeh + jïjtje + reereme	åålmeh-jïjtjereereme, åålmeh-jïjtjereeremasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 15	
laakeskaepiedimmie-faamoe	lovgivende makt	lagstiftande makt				sammensatt substantiv av laake + skaepiedimmie av skaepiedidh + faamoe	laakeskaepiedimmie-faamoe, laakeskaepiedimmie-faamose	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 15	
nasjovnale-krirrie	nasjonalforsamlingen	nationalförsamlingen				sammensatt substantiv av nasjovnale + krirrie	nasjovnale-krirrie, nasjovnale-krærran	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 15	
tjïrrehts-faamoe	den utøvende makt	den executiva makten				sammensatt substantiv av tjïrrehts av tjïrrehtidh + faamoe	tjïrrehts-faamoe, tjïrrehts-faamose	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 15	
dööpmeme-faamoe	dømmende makt	dömande makten				sammensatt substantiv av dööpmeme av dööpmedh + faamoe	dööpmeme-faamoe, dööpmeme-faamose	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 15	
faamoejuekedimmie-våarome	maktfordelingsprinsipp	maktfördelningsprincip				sammensatt substantiv av faamoe + joekedimmie + våarome	faamoejuekedimmie-våarome, faamoejuekedimmie-våaromasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 16	
joekedimmie	fordeling	fördelning				substantiv av juekedh	joekedimmie, joekedæmman	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 16	
våarome	prinsipp	princip				substantiv	våarome, våaroemasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 16	
maedtedh	forvise	utvisa				verb	maedtedh, maadta, meedti, maedteme	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 16	
gåalmede-tjïerte	tredjestanden	tredje ståndet				sammensatt substantiv av gåalmede + tjïerte	gåalmede-tjïerte, gåalmede-tjeartan	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 16	
skreejredh	inspirere	inspirera				verb	skreejredh, skreejrije, skreejri, skreejreme	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 16	
voestes-tjïerte	førstestanden	första ståndet				sammensatt substantiv av voestes + tjïerte	voestes-tjïerte, voestes-tjeartan	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 17	
nubpie-tjïerte	andrestanden	andra ståndet				sammensatt substantiv av nubpie + tjïerte	nubpie-tjïerte, nubpie-tjeartan	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 17	
gierte-gaavnehtimmie	flykonstruksjon	flygkonstruktion				sammensatt substantiv av girtie + gaavnehtimmie av gaavnehtidh	gïrtie-gaavnehtimmie, girtiegaavnehtæmman	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 17	
vuesiehtidh	illustrere	illustrera				verb	vuesiehtidh, vuesehte, vuesiehti, vuesiehtamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 17	
ferskene	fersken	persika				substantiv	ferskene, ferskenasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 18	
ferskene-moere	ferskentre	persikoträd				sammensatt substantiv av ferskene + moere	ferskene-moere, ferskene-moerese	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 18	
kraesie-raedtie	gresskant	gräskant				sammensatt substantiv av kraesie + raedtie	kraesie-raedtie, kraesie-raadtan	Elgå ref. gruppe	Til godkjenning		Historie 8	Revolusjon	side 18	
amerikanske	amerikanske	amerikanska				adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 19	
franske	fransk	fransk				adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 19	
åeviedidh	halshogge	halshogge				verb	åeviedidh, åevede, åeviedi, åeviedamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 19	
feerlegs	farefull	farofull				adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side  19	
vïesehtallije	nybyggere	nybyggare				substantiv av vïesehtahtjedh	vïesehtallije, vïesehtallijasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 19	
guvernööre	guvernør	guvernör				substantiv	guvernööre, guvernöörese	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 19	
vierhtieldihke	sammenlignet	jämfört				adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 19	
parlamente	parlament	parlament				substantiv	parlamente, parlamentese	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 20	
tjïjhtjejaepien-dåaroe	sjuårskrigen	sjuårskriget				sammensatt substantiv av tjïjhtje + jaepien + dåaroe	tjïjhtjejaepien-dåaroe, tjïjhtjejaepien-dåarose	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 20	
faamoe 	herredøme	herradöme				substantiv	faamoe, faamose	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 20	
Bostonen löövje-sïelske	Teselskapet i Boston	Tesällskapet i Boston				frase		Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 21	
frïjjevoete-dåaroe	frigjøringskrig	frihetskrig				sammensatt substantiv av frïje + voete + dåaroe	frïjjevoete-dåaroe, frïjjevoete-dåarose	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 21	
raeffie-latjkoe	fredsavtale	fredsavtal				sammensatt substantiv av raeffie + latjkoe	raeffie-latjkoe, raeffie-latjkose	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 21	
frïjjevoete-bæjhkoehtimmie	uavhengighetserklæring	frihetsförklaring				sammensatt substantiv av frïjje + voete + bæjhkoehtimmie	frïjjevoete-bæjhkoehtimmie, frïjjevoete-bæjhkoehtæmman	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 22	
naaledh	rase	rasa		Dåaroe Stoerre-Britanijen vööste naali.	Krigen mot Storbritannia raste.	verb	naaledh, naala, naali, naaleme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 22	
nasjonaalebiejjie	nasjonaldag	nationaldag				sammensatt substantiv av nasjovnale + biejjie	nasjonaalebiejjie, nasjonaalebeajjan	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 22	
kongresse	kongressen	kongressen				substantiv	kongresse, kongressese	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 22	
nænnoestidh	vedta	godkänna		Kongresse edtji laakh nænnoestidh.	Kongressen skulle vedta lover.	verb	nænnoestidh, nænnoste, nænnoesti, nænnoestamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 22	
tjïrrehtidh	sette ut i livet	realisera		Reerenasse edtji laakide tjïrrehtidh.	Regjeringen skulle sette lovene ut i livet.	verb	tjïrrehtidh, tjïrrehte, tjïrrehti, tjïrrehtamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 22	
neejpedh	fastslå	fastställa	neejpestidh	Maadth-laake soptses-reaktam neejpi.	Grunnloven fastslo ytringsfrihet.	verb	neejpedh, neejpie, neejpi, neejpeme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 22	
presidente	president	president				substantiv	presidente, presidentese	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 22	
buajhkoes	selvinnlysende	självklar		Dïhte lea akte buajhkoes rïektese.	Det er en selvinnlysende sannhet.	adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 22	
aarvoes	umistelig	oersättlig		Dovne gaajhkesh leah aarvoes reaktah åådtjeme.	Alle har fått umistelige rettigheter.	adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 22	
mïrrestalleldh	like	jämnställd		Almetjh reakadin frïjje jïh mïrrestalleldh.	Mennesker føddes frie og like.	adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
frïjjevoete-ræjtoe	frigjøringskamp	frihetskamp				sammensatt substantiv av frïjje + voete + ræjtoe	frïjjevoete-ræjtoe, frïjjevoete-ræjtose	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
tjietjele 	ubegrenset	obegränsad		Ålmah tjietjele faamoem utniejin.	Mennene hade ubegrenset makt.	adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
indianske	indiansk	indianskt				adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
maadtoe	stamme	stam				substantiv	maadtoe, maadtose	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
bisone	bison	bison				substantiv	bisone, bisonasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
maadtoe-kultuvre	stammekultur	stamkultur				sammensatt substantiv av maadtoe + kultuvre	maadtoe-kultuvre, maadtoe-kultuvrese	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
vïesehtallije-sïebredahke	nybyggersamfunn	nybyggarssamhälle				sammensatt substantiv av vïesehtallije + sïebredahke	vïesehtallije-sïebredahke, vïesehtallije-sïebredahkese	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
maadth-dajve	opprinnelig område	ursprungligt område				sammensatt substantiv av maadth + dajve	maadth-dajve, maadth-dajvese	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
